ECRef,RegulatedEntityName,ReportingPeriodName,RegulatedEntityType,TotalExpenditure,DateIncurred,ExpenseCategoryName,SupplierName,FullAddress,AmountInEngland,AmountInScotland,AmountInWales,AmountInNorthernIreland,DateOfClaimForPayment,DatePaid,RedactedSupportingInvoiceId,RegulatedEntityId,SupplierId,JointCampaignName,UnregisteredCampaignerName,CampaigningName,IsOutsideSection75
SP0124483,Liberal Democrats,European Parliamentary Elections 22/05/2014,Political Party,£537.00,20/03/2104,Unsolicited material to electors,Bishops Printers Ltd,"Walton Road, Farlington, Portsmouth, Hampshire, PO6 1TR, United Kingdom",£0.00,£537.00,£0.00,£0.00,20/03/2104,30/05/2014,3245,90,29814,,,,False
SP0119764,UK Independence Party (UKIP),European Parliamentary Elections 22/05/2014,Political Party,£175.00,09/01/2024,Unsolicited material to electors,Print Carrier,"Schulhof1, Bavaria, 97286 Winterhausen, ZZ0 0ZZ, Germany",£175.00,£0.00,£0.00,£0.00,09/01/2024,09/01/2014,,85,9531,,,,False
SP0131365,Conservative and Unionist Party,European Parliamentary Elections 22/05/2014,Political Party,£66.00,27/04/2016,Unsolicited material to electors,Prysg Gwasanaethau laith Language Services,"15 St. Andrews Crescent, Cardiff, CF10 3DB, United Kingdom",£0.00,£0.00,£66.00,£0.00,27/04/2016,23/04/2014,,52,30107,,,,False
SP0131336,Conservative and Unionist Party,European Parliamentary Elections 22/05/2014,Political Party,£300.00,17/11/2014,Advertising,Bluetree Website Services,"Lower Ground Floor, 20 Meridian Place, Clifton, Bristol, BS8 1JL, United Kingdom",£300.00,£0.00,£0.00,£0.00,01/12/2014,17/12/2014,2843,52,30227,,,,False
SP0131496,Conservative and Unionist Party,European Parliamentary Elections 22/05/2014,Political Party,£357.60,23/07/2014,Overheads and general administration,Alamy Limited,"6-8 West Central, 127 Olympic Avenue, Abigon, Oxon, OX14 4SA, United Kingdom",£357.60,£0.00,£0.00,£0.00,23/07/2014,23/07/2014,2976,52,30280,,,,False
SP0131497,Conservative and Unionist Party,European Parliamentary Elections 22/05/2014,Political Party,£108.00,23/07/2014,Overheads and general administration,Chippenham Rugby Football Club,"Allington Field, Sheldon Corner, Wiltshire, SN14 0YZ, United Kingdom",£108.00,£0.00,£0.00,£0.00,23/07/2014,23/07/2014,,52,30281,,,,False
SP0105273,NI21 [De-registered 03/11/16],European Parliamentary Elections 22/05/2014,Political Party,£146.44,17/07/2014,Overheads and general administration,Basil McCrea,"",£0.00,£0.00,£0.00,£146.44,,17/07/2014,,2090,6718,,,,False
NE0125350,Liberal Democrats,European Parliamentary Elections 22/05/2014,Political Party,£509.50,10/07/2014,Overheads and general administration,Colchester Liberal Democrats,"8-10 Great George Street,  London , PO Box 1, Town, SW1P 3AE, United Kingdom",£509.50,£0.00,£0.00,£0.00,,,,90,3416,,,,False
SP0125045,Liberal Democrats,European Parliamentary Elections 22/05/2014,Political Party,£163.78,30/06/2014,Overheads and general administration,Eluned Parrott AM,"38 The Parade,  Cardiff,  Cardiff, CF24 3AD, United Kingdom",£0.00,£0.00,£163.78,£0.00,30/06/2014,30/06/2014,,90,10546,,,,False
SP0125046,Liberal Democrats,European Parliamentary Elections 22/05/2014,Political Party,£112.28,30/06/2014,Overheads and general administration,Eluned Parrott AM,"38 The Parade,  Cardiff,  Cardiff, CF24 3AD, United Kingdom",£0.00,£0.00,£112.28,£0.00,30/06/2014,30/06/2014,,90,10546,,,,False
