"","screenname","name"
"1","Afzal4Gorton","Afzal Khan MP"
"2","AlynSmith","Alyn Smith MEP 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺"
"3","AmjadBashirMEP","Amjad Bashir MEP"
"4","Ashleyfoxmep","Ashley Fox MEP"
"5","C_Stihler","Catherine Stihler"
"6","CharlesTannock","Dr Charles Tannock"
"7","ClareMoodyMEP","Clare Moody MEP"
"8","Claude_Moraes","Claude Moraes"
"9","Coburn4Brexit","David Coburn MEP"
"10","DCBMEP","David C Bannerman"
"11","DanielJHannan","Daniel Hannan"
"12","DianeDoddsMEP","Diane Dodds MEP"
"13","DianeJamesMEP","Diane James MEP"
"14","EmmaMcClarkin","Emma McClarkin"
"15","GVOMEP","Geoffrey Van Orden"
"16","GerardBattenMEP","Gerard Batten MEP"
"17","GlenisWillmott","Glenis Willmott"
"18","GreenJeanMEP","Jean Lambert MEP"
"19","GreenKeithMEP","Keith Taylor MEP"
"20","IanDuncanHMG","Ian Duncan"
"21","JNicholsonMEP","Jim Nicholson MEP"
"22","JProcterMEP","John Procter MEP"
"23","JSeymourUKIP","Jill Seymour MEP"
"24","JamesJimCarver","James Carver MEP"
"25","Jane_CollinsMEP","Jane Collins MEP"
"26","Janice4Brexit","Janice Atkinson"
"27","JillEvansMEP","Jill Evans ASE/MEP"
"28","JohnFlackMEP","John Flack MEP"
"29","JohnHowarth1958","John Howarth MEP"
"30","JonathanArnott","Jonathan Arnott MEP"
"31","Jude_KD","Jude Kirton-Darling MEP"
"32","KaySwinburneMEP","Kay Swinburne MEP"
"33","LindaMcAvanMEP","Linda McAvan MEP"
"34","LucyAndersonMEP","Lucy Anderson"
"35","MEPNeenaGill","Neena Gill"
"36","M_AndersonSF","MEP Martina Anderson"
"37","MargotLJParker","Margot Parker MEP"
"38","MollyMEP","Molly Scott Cato MEP"
"39","NathanGillMEP","Nathan Gill ➡️"
"40","NeenaGmep","Neena Gill MEP"
"41","Nigel_Farage","Nigel Farage"
"42","NirjDeva","Nirj Deva MEP"
"43","NosheenaMobarik","Nosheena Mobarik MEP"
"44","PaulBrannenNE","Paul Brannen MEP"
"45","RCorbettMEP","Richard Corbett"
"46","RMatthewsMEP","Rupert Matthews MEP"
"47","RichardAshMEP","Richard Ashworth MEP"
"48","RogerHelmerMEP","Roger Helmer"
"49","Rory_Palmer","Rory Palmer"
"50","SHKMEP","Sajjad Karim MEP Conservative"
"51","SebDance","Seb Dance MEP"
"52","Steven_Woolfe","Steven Woolfe MEP"
"53","SyedKamall","Syed Kamall"
"54","TheresaMEP","Theresa Griffin MEP"
"55","Tim_Aker","Tim Aker MEP"
"56","WajidKhanMEP","Wajid Khan MEP"
"57","alexlmayer","Alex Mayer MEP"
"58","anthea_mcintyre","Anthea McIntyre MEP"
"59","billethmep","Bill Etheridge"
"60","catherinemep","Catherine Bearder 🔶"
"61","davidmartinmep","David Martin MEP"
"62","ddalton40","Daniel Dalton"
"63","derekvaughan","Derek Vaughan MEP"
"64","hudghtonmepSNP","Ian Hudghton MEP"
"65","jfoster2019","Jacqueline Foster"
"66","julia_reid","Dr Julia Reid MEP"
"67","julie4nw","Julie Ward MEP"
"68","juliegirling","Julie Girling #FBPE"
"69","maryhoneyball","Mary Honeyball MEP #StopBrexit2019"
"70","oflynnmep","Patrick O'Flynn"
"71","sionsimon","Siôn Simon"
