row,screenname,name,UK,name,trim,match,serving,ontwitter
1,Afzal4Gorton,Afzal Khan MP,Y,Afzal Khan ,Afzal Khan,#N/A,N,Y
2,AlynSmith,Alyn Smith MEP 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺,Y,Alyn Smith ,Alyn Smith,Alyn Smith,,Y
3,AmjadBashirMEP,Amjad Bashir MEP,Y,Amjad Bashir ,Amjad Bashir,Amjad Bashir,,Y
4,Ashleyfoxmep,Ashley Fox MEP,Y,Ashley Fox ,Ashley Fox,Ashley Fox,,Y
5,C_Stihler,Catherine Stihler,Y,Catherine Stihler,Catherine Stihler,Catherine Stihler,N,
6,CharlesTannock,Dr Charles Tannock,Y,Dr Charles Tannock,Charles Tannock,Charles Tannock,,Y
7,ClareMoodyMEP,Clare Moody MEP,Y,Clare Moody ,Clare Moody,Clare Moody,,Y
8,Claude_Moraes,Claude Moraes,Y,Claude Moraes,Claude Moraes,Claude Moraes,,Y
9,Coburn4Brexit,David Coburn MEP,Y,David Coburn ,David Coburn,David Coburn,,Y
10,DCBMEP,David C Bannerman,Y,David C Bannerman,David Campbell Bannerman,David Campbell Bannerman,,Y
11,DanielJHannan,Daniel Hannan,Y,Daniel Hannan,Daniel Hannan,Daniel Hannan,,Y
12,DianeDoddsMEP,Diane Dodds MEP,Y,Diane Dodds ,Diane Dodds,Diane Dodds,,Y
13,DianeJamesMEP,Diane James MEP,Y,Diane James ,Diane James,Diane James,,Y
14,EmmaMcClarkin,Emma McClarkin,Y,Emma McClarkin,Emma McClarkin,Emma Mcclarkin,,Y
15,GVOMEP,Geoffrey Van Orden,Y,Geoffrey Van Orden,Geoffrey Van Orden,Geoffrey Van Orden,,Y
16,GerardBattenMEP,Gerard Batten MEP,Y,Gerard Batten ,Gerard Batten,Gerard Batten,,Y
17,GlenisWillmott,Glenis Willmott,Y,Glenis Willmott,Glenis Willmott,#N/A,N,
18,GreenJeanMEP,Jean Lambert MEP,Y,Jean Lambert ,Jean Lambert,Jean Lambert,,Y
19,GreenKeithMEP,Keith Taylor MEP,Y,Keith Taylor ,Keith Taylor,Keith Taylor,,Y
20,IanDuncanHMG,Ian Duncan,Y,Ian Duncan,Ian Duncan,#N/A,N,
21,JNicholsonMEP,Jim Nicholson MEP,Y,Jim Nicholson ,James Nicholson,James Nicholson,,Y
22,JProcterMEP,John Procter MEP,Y,John Procter ,John Procter,John Procter,,Y
23,JSeymourUKIP,Jill Seymour MEP,Y,Jill Seymour ,Jill Seymour,Jill Seymour,,Y
24,JamesJimCarver,James Carver MEP,Y,James Carver ,James Carver,James Carver,,Y
25,Jane_CollinsMEP,Jane Collins MEP,Y,Jane Collins ,Jane Collins,Jane Collins,,Y
26,Janice4Brexit,Janice Atkinson,Y,Janice Atkinson,Janice Atkinson,Janice Atkinson,,Y
27,JillEvansMEP,Jill Evans ASE/MEP,Y,Jill Evans ASE/,Jill Evans,Jill Evans,,Y
28,JohnFlackMEP,John Flack MEP,Y,John Flack ,John Flack,John Flack,,Y
29,JohnHowarth1958,John Howarth MEP,Y,John Howarth ,John Howarth,John Howarth,,Y
30,JonathanArnott,Jonathan Arnott MEP,Y,Jonathan Arnott ,Jonathan Arnott,Jonathan Arnott,,Y
31,Jude_KD,Jude Kirton-Darling MEP,Y,Jude Kirton-Darling ,Jude Kirton-Darling,Jude Kirton-Darling,,Y
32,KaySwinburneMEP,Kay Swinburne MEP,Y,Kay Swinburne ,Kay Swinburne,Kay Swinburne,,Y
33,LindaMcAvanMEP,Linda McAvan MEP,Y,Linda McAvan ,Linda McAvan,Linda Mcavan,,Y
34,LucyAndersonMEP,Lucy Anderson,Y,Lucy Anderson,Lucy Anderson,Lucy Anderson,,Y
36,M_AndersonSF,MEP Martina Anderson,Y, Martina Anderson,Martina Anderson,Martina Anderson,,Y
37,MargotLJParker,Margot Parker MEP,Y,Margot Parker ,Margot Parker,Margot Parker,,Y
38,MollyMEP,Molly Scott Cato MEP,Y,Molly Scott Cato ,Molly Scott Cato,Molly Scott Cato,,Y
39,NathanGillMEP,Nathan Gill ➡️,Y,Nathan Gill ➡️,Nathan Gill,Nathan Gill,,Y
40,NeenaGmep,Neena Gill MEP,Y,Neena Gill ,Neena Gill,Neena Gill,,Y
41,Nigel_Farage,Nigel Farage,Y,Nigel Farage,Nigel Farage,Nigel Farage,,Y
42,NirjDeva,Nirj Deva MEP,Y,Nirj Deva ,Nirj Deva,Nirj Deva,,Y
43,NosheenaMobarik,Nosheena Mobarik MEP,Y,Nosheena Mobarik ,Nosheena Mobarik,Nosheena Mobarik,,Y
44,PaulBrannenNE,Paul Brannen MEP,Y,Paul Brannen ,Paul Brannen,Paul Brannen,,Y
45,RCorbettMEP,Richard Corbett,Y,Richard Corbett,Richard Corbett,Richard Corbett,,Y
46,RMatthewsMEP,Rupert Matthews MEP,Y,Rupert Matthews ,Rupert Matthews,Rupert Matthews,,Y
47,RichardAshMEP,Richard Ashworth MEP,Y,Richard Ashworth ,Richard Ashworth,Richard Ashworth,,Y
48,RogerHelmerMEP,Roger Helmer,Y,Roger Helmer,Roger Helmer,#N/A,N,
49,Rory_Palmer,Rory Palmer,Y,Rory Palmer,Rory Palmer,Rory Palmer,,Y
50,SHKMEP,Sajjad Karim MEP Conservative,Y,Sajjad Karim  Conservative,Sajjad Karim,Sajjad Karim,,Y
51,SebDance,Seb Dance MEP,Y,Seb Dance ,Seb Dance,Seb Dance,,Y
52,Steven_Woolfe,Steven Woolfe MEP,Y,Steven Woolfe ,Steven Woolfe,Steven Woolfe,,Y
53,SyedKamall,Syed Kamall,Y,Syed Kamall,Syed Kamall,Syed Kamall,,Y
54,TheresaMEP,Theresa Griffin MEP,Y,Theresa Griffin ,Theresa Griffin,Theresa Griffin,,Y
55,Tim_Aker,Tim Aker MEP,Y,Tim Aker ,Tim Aker,Tim Aker,,Y
56,WajidKhanMEP,Wajid Khan MEP,Y,Wajid Khan ,Wajid Khan,Wajid Khan,,Y
57,alexlmayer,Alex Mayer MEP,Y,Alex Mayer ,Alex Mayer,Alex Mayer,,Y
58,anthea_mcintyre,Anthea McIntyre MEP,Y,Anthea McIntyre ,Anthea McIntyre,Anthea Mcintyre,,Y
59,billethmep,Bill Etheridge,Y,Bill Etheridge,Bill Etheridge,Bill Etheridge,,Y
60,catherinemep,Catherine Bearder 🔶,Y,Catherine Bearder 🔶,Catherine Bearder,Catherine Bearder,,Y
