"","wordnopunc","freq"
"1","RT",91044
"2","I",18402
"3","",15645
"4","&amp;amp;",14837
"5","EU",14714
"6","",13798
"7","The",13621
"8","Brexit",10458
"9","UK",8344
"10","people",5814
"11","European",5592
"12","can",5554
"13","vote",5330
"14","This",5293
"15","We",5263
"16","A",4830
"17","Labour",4690
"18","now",4631
"19","#Brexit",4485
"20","just",4388
"21","new",4291
"22","today",4269
"23","deal",4265
"24","Great",4224
"25","us",3794
"26","one",3766
"27","support",3725
"28","see",3659
"29","get",3569
"30","says",3519
"31","May",3485
"32","need",3484
"33","time",3352
"34","Parliament",3284
"35","If",3188
"36","like",3179
"37","great",3149
"38","must",3106
"39","good",3010
"40","want",2946
"41","It",2844
"42","My",2745
"43","back",2738
"44","MEP",2733
"45","British",2711
"46","Good",2607
"47","last",2566
"48","think",2536
"49","work",2484
"50","make",2471
"51","MEPs",2458
"52","many",2373
"53","MPs",2371
"54","No",2346
"55","say",2298
"56","day",2285
"57","In",2276
"58","Tory",2271
"59","voted",2259
"60","trade",2250
"61","Theresa",2247
"62","Thanks",2215
"63","know",2193
"64","years",2177
"65","Thank",2133
"66","right",2076
"67","take",2075
"68","campaign",2053
"69","still",2028
"70","And",2018
"71","first",2006
"72","You",1989
"73","meeting",1970
"74","What",1969
"75","Im",1887
"76","party",1850
"77","said",1845
"78","Party",1835
"79","public",1817
"80","much",1791
"81","Britain",1788
"82","t\u2026",1784
"83","going",1779
"84","So",1778
"85","way",1769
"86","next",1768
"87","Its",1706
"88","Europe",1693
"89","week",1692
"90","leave",1690
"91","help",1686
"92","West",1680
"93","government",1679
"94","forward",1657
"95","As",1652
"96","done",1648
"97","go",1643
"98","debate",1624
"99","via",1615
"100","local",1598
"101","news",1597
"102","UKIP",1592
"103","PM",1577
"104","really",1569
"105","Just",1558
"106","referendum",1550
"107","political",1542
"108","morning",1524
"109","Brussels",1517
"110","across",1508
"111","country",1493
"112","best",1492
"113","the\u2026",1490
"114","a\u2026",1487
"115","London",1484
"116","never",1475
"117","But",1460
"118","it\u2019s",1459
"119","today",1456
"120","I\u2019m",1444
"121","Well",1440
"122","future",1428
"123","@RCorbettMEP:",1427
"124","Today",1426
"125","speech",1422
"126","Conservative",1420
"127","@Europarl_EN",1417
"128","better",1401
"129","working",1398
"130","part",1387
"131","year",1386
"132","Our",1372
"133","It\u2019s",1355
"134","made",1352
"135","important",1344
"136","well",1344
"137","event",1333
"138","MP",1328
"139","even",1326
"140","They",1319
"141","report",1316
"142","On",1311
"143","stop",1301
"144","Tories",1289
"145","How",1288
"146","rights",1275
"147","another",1274
"148","free",1274
"149","hard",1270
"150","hear",1269
"151","put",1257
"152","There",1257
"153","change",1253
"154","don\u2019t",1251
"155","#EU",1241
"156","Not",1236
"157","meet",1230
"158","thanks",1219
"159","keep",1213
"160","end",1209
"161","two",1206
"162","@UKLabour",1202
"163","2",1197
"164","",1189
"165","also",1186
"166","election",1184
"167","Why",1183
"168","Minister",1182
"169","@Nigel_Farage",1181
"170","every",1176
"171","|",1171
"172","join",1167
"173","Leave",1164
"174","voting",1154
"175","come",1152
"176","candidate",1146
"177","agree",1142
"178","Government",1139
"179","team",1135
"180","New",1126
"181","live",1116
"182","give",1112
"183","speaking",1111
"184","\u2013",1104
"185","Brexit",1084
"186","BBC",1075
"187","always",1073
"188","call",1071
"189","clear",1070
"190","Very",1066
"191","since",1065
"192","th\u2026",1064
"193","hope",1061
"194","Please",1060
"195","needs",1058
"196","got",1054
"197","million",1050
"198","world",1050
"199","elections",1049
"200","long",1048
"201","women",1044
"202","latest",1032
"203","members",1031
"204","ever",1006
"205","big",1004
"206","campaigning",1002
"207","",999
"208","EU",997
"209","talking",997
"210","look",995
"211","discuss",986
"212","voters",986
"213","sure",985
"214","believe",979
"215","set",976
"216","it",966
"217","second",966
"218","He",965
"219","real",965
"220","stand",962
"221","Congratulations",960
"222","jobs",960
"223","tonight",959
"224","Looking",952
"225","everyone",951
"226","Prime",947
"227","business",941
"228","North",937
"229","@theresa_may",936
"230","to\u2026",935
"231","means",928
"232","With",923
"233","welcome",920
"234","looking",918
"235","For",916
"236","without",914
"237","All",910
"238","speak",907
"239","Remain",905
"240","Happy",904
"241","4",903
"242","full",903
"243","case",901
"244","told",899
"245","Ive",896
"246","Ireland",896
"247","@MollyMEP",892
"248","left",888
"249","leader",885
"250","Now",885
"251","policy",881
"252","fight",874
"253","@Nigel_Farage:",872
"254","Vote",871
"255","@UKIP",870
"256","read",870
"257","already",869
"258","",867
"259","Delighted",865
"260","may",865
"261","More",860
"262","talk",860
"263","show",856
"264","taking",854
"265","Midlands",851
"266","http\u2026",850
"267","young",846
"268","At",845
"269","far",845
"270","find",844
"271","proud",842
"272","conference",841
"273","tomorrow",837
"274","East",836
"275","supporting",833
"276","making",831
"277","Irish",830
"278","pay",830
"279","around",825
"280","start",822
"281","votes",822
"282","wants",822
"283","3",821
"284","getting",820
"285","point",814
"286","David",813
"287","funding",812
"288","Farage",811
"289","South",810
"290","h\u2026",806
"291","saying",801
"292","visit",799
"293","coming",789
"294","I\u2019ve",781
"295","days",779
"296","Nigel",779
"297","article",776
"298","o\u2026",776
"299","citizens",773
"300","plan",772
"301","money",770
"302","Another",768
"303","@Conservatives",764
"304","rules",764
"305","To",764
"306","calling",762
"307","national",759
"308","open",759
"309","place",758
"310","huge",756
"311","EP",755
"312","tell",755
"313","win",753
"314","use",749
"315","yn",745
"316","bad",743
"317","Mays",743
"318","One",743
"319","#brexit",742
"320","i\u2026",742
"321","thank",741
"322","candidates",740
"323","luck",740
"324","ahead",738
"325","climate",737
"326","w\u2026",736
"327","leaving",734
"328","Northern",733
"329","President",733
"330","result",730
"331","let",729
"332","economy",728
"333","member",727
"334","remain",726
"335","Union",722
"336","discussion",717
"337","Council",713
"338","May\u2019s",712
"339","message",709
"340","single",708
"341","tax",708
"342","thing",706
"343","50",705
"344","in\u2026",705
"345","launch",705
"346","old",705
"347","excellent",700
"348","Deal",698
"349","shows",698
"350","Article",694
"351","Brexit",694
"352","job",694
"353","@SyedKamall",693
"354","actually",693
"355","htt\u2026",692
"356","key",691
"357","When",691
"358","please",688
"359","strong",687
"360","@JillEvansMEP",686
"361","things",686
"362","Read",684
"363","https://t\u2026",678
"364","night",678
"365","group",674
"366","trying",668
"367","final",666
"368","top",663
"369","man",662
"370","talks",661
"371","here:",660
"372","Is",660
"373","An",658
"374","law",658
"375","NHS",657
"376","yet",654
"377","lost",652
"378","mean",651
"379","action",650
"380","US",650
"381","of\u2026",648
"382","Corbyn",647
"383","Scotland",647
"384","fantastic",645
"385","countries",644
"386","standing",644
"387","might",643
"388","discussing",642
"389","Strasbourg",642
"390","https://\u2026",641
"391","decision",640
"392","politics",640
"393","workers",638
"394","House",637
"395","plans",637
"396","called",636
"397","seen",636
"398","Join",635
"399","tells",635
"400","She",634
"401","sign",633
"402","Commission",632
"403","\The",631
"404","and\u2026",631
"405","friends",631
"406","https:/\u2026",631
"407","majority",630
"408","Many",630
"409","@ConMEPs:",628
"410","agreement",627
"411","elected",627
"412","Ill",627
"413","lot",626
"414","stay",626
"415","That",626
"416","politicians",624
"417","protect",624
"418","little",622
"419","John",621
"420","todays",621
"421","anyone",620
"422","services",619
"423","nothing",618
"424","remember",617
"425","https:\u2026",615
"426","economic",613
"427","https\u2026",613
"428","1",612
"429","home",610
"430","letter",610
"431","impact",608
"432","response",608
"433","Watch",604
"434","Westminster",604
"435","March",603
"436","this",603
"437","Do",602
"438","poll",602
"439","away",601
"440","s\u2026",601
"441","control",600
"442","outside",600
"443","Green",598
"444","https://t\u2026",596
"445","thought",594
"446","can\u2019t",593
"447","@UKIP:",592
"448","understand",592
"449","Day",591
"450","democracy",590
"451","including",590
"452","@sionsimon",588
"453","global",588
"454","ago",587
"455","brilliant",587
"456","given",587
"457","issue",586
"458","deliver",585
"459","ht\u2026",585
"460","continue",584
"461","10",581
"462","lead",581
"463","become",580
"464","businesses",580
"465","Yes",577
"466","evening",576
"467","News",575
"468","together",575
"469","calls",571
"470","former",571
"471","issues",571
"472","something",566
"473","@jfostermep:",565
"474","leaders",564
"475","colleagues",563
"476","today",563
"477","customs",562
"478","EU",560
"479","Excellent",560
"480","makes",560
"481","England",557
"482","Govt",557
"483","worth",557
"484","@SebDance",556
"485","enough",556
"486","5",555
"487","Fantastic",555
"488","food",555
"489","industry",555
"490","border",554
"491","happy",554
"492","family",552
"493","idea",551
"494","@sinnfeinireland:",547
"495","used",546
"496","Wales",545
"497","deal",544
"498","state",543
"499","c\u2026",542
"500","media",542
"501","biggest",541
"502","Were",540
"503","legal",536
"504","chance",533
"505","share",532
"506","Will",532
"507","wrong",532
"508",":",531
"509","piece",531
"510","@ecrgroup",530
"511","position",530
"512","Euro",529
"513","market",529
"514","colleague",528
"515","asked",527
"516","love",526
"517","number",525
"518","ask",523
"519","",520
"520","you",519
"521","@NeenaGmep",518
"522","@julie4nw",517
"523","#PeoplesVote",517
"524","watch",516
"525","Pleased",514
"526","b\u2026",513
"527","Some",513
"528","@brexitparty_uk",512
"529","Really",512
"530","human",510
"531","social",509
"532","union",509
"533","questions",506
"534","extension",505
"535","Have",504
"536","life",504
"537","negotiations",504
"538","line",501
"539","taken",501
"540","Brexiteers",500
"541","joined",500
"542","positive",499
"543","friend",498
"544","Lord",497
"545","question",495
"546","https://tco\u2026",494
"547","DUP",493
"548","police",493
"549","2016",492
"550","@anthea_mcintyre",490
"551","ensure",490
"552","After",488
"553","behind",488
"554","f\u2026",488
"555","afternoon",487
"556","true",487
"557","@Jude_KD",484
"558","less",484
"559","interesting",483
"560","bring",482
"561","rather",482
"562","following",480
"563","three",480
"564","months",479
"565","Lets",477
"566","face",476
