"","wordnopunc","freq"
"1","RT",91044
"2","I",18402
"3","",15645
"4","&amp;amp;",14837
"5","EU",14714
"6","",13798
"7","The",13621
"8","Brexit",10458
"9","UK",8344
"10","people",5814
"11","European",5592
"12","can",5554
"13","vote",5330
"14","This",5293
"15","We",5263
"16","A",4830
"17","Labour",4690
"18","now",4631
"19","#Brexit",4485
"20","just",4388
"21","new",4291
"22","today",4269
"23","deal",4265
"24","Great",4224
"25","us",3794
"26","one",3766
"27","support",3725
"28","see",3659
"29","get",3569
"30","says",3519
"31","May",3485
"32","need",3484
"33","time",3352
"34","Parliament",3284
"35","If",3188
"36","like",3179
"37","great",3149
"38","must",3106
"39","good",3010
"40","want",2946
"41","It",2844
"42","My",2745
"43","back",2738
"44","MEP",2733
"45","British",2711
"46","Good",2607
"47","last",2566
"48","think",2536
"49","work",2484
"50","make",2471
"51","MEPs",2458
"52","many",2373
"53","MPs",2371
"54","No",2346
"55","say",2298
"56","day",2285
"57","In",2276
"58","Tory",2271
"59","voted",2259
"60","trade",2250
"61","Theresa",2247
"62","Thanks",2215
"63","know",2193
"64","years",2177
"65","Thank",2133
"66","right",2076
"67","take",2075
"68","campaign",2053
"69","still",2028
"70","And",2018
"71","first",2006
"72","You",1989
"73","meeting",1970
"74","What",1969
"75","Im",1887
"76","party",1850
"77","said",1845
"78","Party",1835
"79","public",1817
"80","much",1791
"81","Britain",1788
"82","t\u2026",1784
"83","going",1779
"84","So",1778
"85","way",1769
"86","next",1768
"87","Its",1706
"88","Europe",1693
"89","week",1692
"90","leave",1690
"91","help",1686
"92","West",1680
"93","government",1679
"94","forward",1657
"95","As",1652
"96","done",1648
"97","go",1643
"98","debate",1624
"99","via",1615
"100","local",1598
